Y:-4.53,AccelZ:10.06, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.32,AccelY:-4.53,AccelZ:10.07, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.31,AccelY:-4.53,AccelZ:10.11, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.32,AccelY:-4.54,AccelZ:10.08, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.31,AccelY:-4.55,AccelZ:10.08, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.32,AccelY:-4.54,AccelZ:10.07, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.54,AccelZ:10.04, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.33,AccelY:-4.55,AccelZ:10.07, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.31,AccelY:-4.54,AccelZ:10.08, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.52,AccelZ:10.06, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.33,AccelY:-4.53,AccelZ:10.09, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.34,AccelY:-4.53,AccelZ:10.07, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.32,AccelY:-4.52,AccelZ:10.08, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.55,AccelZ:10.06, GyroX:-0.01,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.32,AccelY:-4.53,AccelZ:10.08, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.34,AccelY:-4.52,AccelZ:10.08, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.00
AccelX:-0.34,AccelY:-4.52,AccelZ:10.08, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.32,AccelY:-4.56,AccelZ:10.09, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
AccelX:-0.31,AccelY:-4.55,AccelZ:10.08, GyroX:-0.02,GyroY:-0.03,GyroZ:-0.01
